stock index,country,year,index price,log_indexprice,inflationrate,oil_prices,exchange_rate,gdppercent,percapitaincome,unemploymentrate,manufacturingoutput,tradebalance,USTreasury
DAX 30,Germany,1996,2888.7,3.46,0.01,25.23,1.5,0.01,15588,0.1,256.13,9.12,0.06
DAX 30,Germany,1997,4224.3,3.63,0.02,18.33,1.73,0.02,13786,0.11,228.78,12.19,0.06
DAX 30,Germany,1998,5002.39,3.7,0.01,11.35,1.76,0.02,13953,0.11,233.65,14.07,0.05
DAX 30,Germany,1999,6958.14,3.84,0.01,26.1,1.07,0.02,26735,0.11,438.87,12.13,0.06
DAX 30,Germany,2000,6433.61,3.81,0.01,28.44,0.92,0.03,23695,0.1,400.23,3.3,0.06
DAX 30,Germany,2001,5160.1,3.71,0.02,19.39,0.9,0.02,23628,0.09,395.8,31.65,0.05
DAX 30,Germany,2002,2892.63,3.46,0.01,29.46,0.95,,25197,0.1,411.33,88.34,0.05
DAX 30,Germany,2003,3965.16,3.6,0.01,32.13,1.13,-0.01,30310,0.11,496.31,94.41,0.04
DAX 30,Germany,2004,4256.08,3.63,0.02,43.15,1.24,0.01,34107,0.11,563.82,146.36,0.04
DAX 30,Germany,2005,5408.25,3.73,0.02,59.41,1.24,0.01,34520,0.12,571.36,148.05,0.04
DAX 30,Germany,2006,6596.91,3.82,0.02,61.96,1.26,0.04,36354,0.11,618.7,162.2,0.05
DAX 30,Germany,2007,8067.31,3.91,0.02,91.69,1.37,0.03,41640,0.09,714.38,231.95,0.05
DAX 30,Germany,2008,4810.2,3.68,0.03,41.12,1.47,0.01,45613,0.08,750.91,227.47,0.04
DAX 30,Germany,2009,5957.43,3.78,,74.47,1.39,-0.06,41650,0.08,603.23,170.94,0.03
DAX 30,Germany,2010,6914.19,3.84,0.01,89.15,1.33,0.04,41572,0.08,669.57,178.9,0.03
DAX 30,Germany,2011,5898.35,3.77,0.02,98.56,1.39,0.04,46706,0.07,758.6,184.02,0.03
DAX 30,Germany,2012,7612.39,3.88,0.02,87.86,1.29,,43856,0.07,710.95,215.16,0.02
DAX 30,Germany,2013,9552.16,3.98,0.02,97.63,1.33,,46299,0.07,743.97,215.01,0.02
DAX 30,Germany,2014,9805.55,3.99,0.01,59.29,1.33,0.02,48024,0.07,786.55,257.4,0.03
DAX 30,Germany,2015,10743.01,4.03,0.01,37.19,1.11,0.01,41103,0.06,683.2,255.02,0.02
DAX 30,Germany,2016,11481.06,4.06,,51.97,1.11,0.02,42136,0.06,716.94,255.97,0.02
DAX 30,Germany,2017,12917.64,4.11,0.02,57.88,1.13,0.03,44553,0.06,752.02,257.66,0.02
DAX 30,Germany,2018,10558.96,4.02,0.02,49.52,1.18,0.01,47811,0.05,795.96,243.72,0.03
DAX 30,Germany,2019,13249.01,4.12,0.01,59.88,1.12,0.01,46468,0.05,737.94,223.82,0.02
DAX 30,Germany,2020,13718.78,4.14,0.01,47.02,1.14,-0.05,45724,0.06,678.29,221.53,0.01
CAC 40,France,1980,394.44,2.6,0.14,21.59,4.23,0.02,1938,,19.77,-1.64,0.11
CAC 40,France,1981,325.88,2.51,0.13,31.77,5.43,0.01,1693,,16.94,-1.38,0.14
CAC 40,France,1982,353.24,2.55,0.12,28.52,6.58,0.03,1600,,15.58,-2.19,0.13
CAC 40,France,1983,552.6,2.74,0.09,26.19,7.62,0.01,1524,0.09,14.93,-0.23,0.11
CAC 40,France,1984,643.2,2.81,0.08,25.88,8.74,0.02,1436,0.1,13.97,0.1,0.12
CAC 40,France,1985,930.21,2.97,0.06,24.09,8.99,0.02,1488,0.1,14.6,-0.31,0.11
CAC 40,France,1986,1403.64,3.15,0.03,12.51,6.93,0.02,2064,0.11,19.92,-0.14,0.08
CAC 40,France,1987,1000,3,0.03,15.4,6.01,0.03,2485,0.11,23.51,-1.56,0.08
CAC 40,France,1988,1573.94,3.2,0.03,12.58,5.96,0.05,2695,0.1,25.43,-1.02,0.09
CAC 40,France,1989,2001.08,3.3,0.03,15.86,6.38,0.04,2697,0.1,25.28,-1.07,0.08
CAC 40,France,1990,1509,3.18,0.03,27.28,5.44,0.03,3322,0.09,31.36,-1.52,0.09
CAC 40,France,1991,1765.7,3.25,0.03,19.5,5.64,0.01,3304,0.1,30.8,-0.61,0.08
CAC 40,France,1992,1857.8,3.27,0.02,19.41,5.3,0.02,3630,0.11,33.31,1.43,0.07
CAC 40,France,1993,2268.2,3.36,0.02,14.52,5.66,-0.01,3412,0.12,30.38,3.39,0.06
CAC 40,France,1994,1881.2,3.27,0.02,17.16,5.55,0.02,3582,0.12,31.23,3.18,0.07
CAC 40,France,1995,1872,3.27,0.02,19.03,4.99,0.02,4099,0.12,36.32,3.9,0.07
CAC 40,France,1996,2315.7,3.36,0.02,25.23,5.12,0.01,4097,0.12,35.44,4.36,0.06
CAC 40,France,1997,2998.9,3.48,0.01,18.33,5.84,0.02,3694,0.12,32.5,6.67,0.06
CAC 40,France,1998,3942.66,3.6,0.01,11.35,5.9,0.04,3807,0.12,33.61,6.29,0.05
CAC 40,France,1999,5958.32,3.78,0.01,26.1,1.07,0.03,24682,0.11,215.66,35.72,0.06
CAC 40,France,2000,5926.42,3.77,0.02,28.44,0.92,0.04,22420,0.1,197.71,18.15,0.06
CAC 40,France,2001,4624.58,3.67,0.02,19.39,0.9,0.02,22453,0.09,193.29,21.66,0.05
CAC 40,France,2002,3063.91,3.49,0.02,29.46,0.95,0.01,24293,0.09,203.97,29.88,0.05
CAC 40,France,2003,3557.9,3.55,0.02,32.13,1.13,0.01,29634,0.09,241.52,26.31,0.04
CAC 40,France,2004,3821.16,3.58,0.02,43.15,1.24,0.03,33803,0.09,268.87,21.46,0.04
CAC 40,France,2005,4715.23,3.67,0.02,59.41,1.24,0.02,34773,0.09,269.11,1.88,0.04
CAC 40,France,2006,5541.75,3.74,0.02,61.96,1.26,0.02,36474,0.09,272.13,-5.41,0.05
CAC 40,France,2007,5614.08,3.75,0.01,91.69,1.37,0.02,41561,0.08,309.42,-19,0.05
CAC 40,France,2008,3217.97,3.51,0.03,41.12,1.47,,45519,0.07,325.4,-33.94,0.04
CAC 40,France,2009,3936.33,3.6,,74.47,1.39,-0.03,41740,0.09,286.02,-21.37,0.03
CAC 40,France,2010,3804.78,3.58,0.02,89.15,1.33,0.02,40678,0.09,273.17,-34.15,0.03
CAC 40,France,2011,3159.81,3.5,0.02,98.56,1.39,0.02,43848,0.09,297.86,-55.81,0.03
CAC 40,France,2012,3641.07,3.56,0.02,87.86,1.29,,40872,0.1,278.07,-34.78,0.02
CAC 40,France,2013,4295.95,3.63,0.01,97.63,1.33,0.01,42605,0.1,291.15,-29.09,0.02
CAC 40,France,2014,4272.75,3.63,0.01,59.29,1.33,0.01,43069,0.1,293.61,-32.71,0.03
CAC 40,France,2015,4637.06,3.67,,37.19,1.11,0.01,36653,0.1,254.5,-13.82,0.02
CAC 40,France,2016,4862.31,3.69,,51.97,1.11,0.01,37063,0.1,254.3,-14.96,0.02
CAC 40,France,2017,5312.56,3.73,0.01,57.88,1.13,0.02,38781,0.09,263.05,-27.63,0.02
CAC 40,France,2018,4730.69,3.67,0.02,49.52,1.18,0.02,41547,0.09,275.76,-29.02,0.03
CAC 40,France,2019,5978.06,3.78,0.01,59.88,1.12,0.02,40380,0.08,266.63,-26.59,0.02
CAC 40,France,2020,5551.41,3.74,,47.02,1.14,-0.08,38625,0.08,241.71,-57.65,0.01
IEX 35,Spain,1980,,3.38,0.16,21.59,71.78,0.02,37,,,-0.04,0.11
IEX 35,Spain,1981,,3.38,0.15,31.77,92.33,,32,,,-0.03,0.14
IEX 35,Spain,1982,,3.38,0.14,28.52,109.92,0.01,31,,,-0.03,0.13
IEX 35,Spain,1983,,3.38,0.12,26.19,143.54,0.02,27,,,-0.02,0.11
IEX 35,Spain,1984,,3.38,0.11,25.88,160.91,0.02,27,,,0.01,0.12
IEX 35,Spain,1985,,3.38,0.09,24.09,170.2,0.02,28,,,0.01,0.11
IEX 35,Spain,1986,,3.38,0.09,12.51,140.14,0.03,39,,,0.02,0.08
IEX 35,Spain,1987,2407.1,3.38,0.05,15.4,123.51,0.06,50,0.2,,-0.02,0.08
IEX 35,Spain,1988,2727.5,3.44,0.05,12.58,116.49,0.05,58,0.19,,-0.05,0.09
IEX 35,Spain,1989,3000,3.48,0.07,15.86,118.34,0.05,64,0.17,,-0.1,0.08
IEX 35,Spain,1990,2248.8,3.35,0.07,27.28,101.95,0.04,83,0.15,,-0.13,0.09
IEX 35,Spain,1991,2603.3,3.42,0.06,19.5,103.87,0.03,89,0.16,,-0.14,0.08
IEX 35,Spain,1992,2344.57,3.37,0.06,19.41,102.47,0.01,97,0.17,,-0.14,0.07
IEX 35,Spain,1993,3615.22,3.56,0.05,14.52,127.31,-0.01,80,0.21,,-0.05,0.06
IEX 35,Spain,1994,3087.68,3.49,0.05,17.16,133.89,0.02,81,0.22,,-0.03,0.07
IEX 35,Spain,1995,3630.76,3.56,0.05,19.03,124.68,0.03,93,0.21,0.6,-0.04,0.07
IEX 35,Spain,1996,5154.77,3.71,0.04,25.23,126.68,0.03,97,0.2,0.63,-0.01,0.06
IEX 35,Spain,1997,7255.4,3.86,0.02,18.33,146.45,0.04,89,0.18,0.59,0.01,0.06
IEX 35,Spain,1998,9836.6,3.99,0.02,11.35,149.37,0.04,93,0.16,0.62,-0.02,0.05
IEX 35,Spain,1999,11641.4,4.07,0.02,26.1,1.07,0.04,15721,0.14,103.49,-12.28,0.06
IEX 35,Spain,2000,9109.8,3.96,0.03,28.44,0.92,0.05,14750,0.12,97.13,-17.69,0.06
IEX 35,Spain,2001,8397.6,3.92,0.04,19.39,0.9,0.04,15369,0.11,99.4,-14.28,0.05
IEX 35,Spain,2002,6036.9,3.78,0.03,29.46,0.95,0.03,17107,0.11,108.02,-14.11,0.05
IEX 35,Spain,2003,7737.2,3.89,0.03,32.13,1.13,0.03,21511,0.11,133.45,-20.02,0.04
IEX 35,Spain,2004,9080.8,3.96,0.03,43.15,1.24,0.03,24907,0.11,151.49,-39.56,0.04
IEX 35,Spain,2005,10733.9,4.03,0.03,59.41,1.24,0.04,26429,0.09,158.16,-55.42,0.04
IEX 35,Spain,2006,14146.5,4.15,0.04,61.96,1.26,0.04,28389,0.08,168.08,-71.77,0.05
IEX 35,Spain,2007,15182.29,4.18,0.03,91.69,1.37,0.04,32591,0.08,190.13,-85.17,0.05
IEX 35,Spain,2008,9195.8,3.96,0.04,41.12,1.47,0.01,35511,0.11,207.17,-77.28,0.04
IEX 35,Spain,2009,11940,4.08,,74.47,1.39,-0.04,32170,0.18,172.86,-13,0.03
IEX 35,Spain,2010,9859.1,3.99,0.02,89.15,1.33,,30532,0.2,162.09,-14.57,0.03
IEX 35,Spain,2011,8566.3,3.93,0.03,98.56,1.39,-0.01,31678,0.21,170.26,4.1,0.03
IEX 35,Spain,2012,8167.5,3.91,0.02,87.86,1.29,-0.03,28323,0.25,147.38,27.36,0.02
IEX 35,Spain,2013,9916.7,4,0.01,97.63,1.33,-0.01,29068,0.26,151.68,53.24,0.02
IEX 35,Spain,2014,10279.5,4.01,,59.29,1.33,0.01,29501,0.24,155.09,42.5,0.03
IEX 35,Spain,2015,9544.2,3.98,-0.01,37.19,1.11,0.04,25742,0.22,135.11,36.35,0.02
IEX 35,Spain,2016,9352.1,3.97,,51.97,1.11,0.03,26523,0.2,139.01,49.16,0.02
IEX 35,Spain,2017,10043.9,4,0.02,57.88,1.13,0.03,28170,0.17,148.8,47.33,0.02
IEX 35,Spain,2018,8539.9,3.93,0.02,49.52,1.18,0.02,30389,0.15,158.33,38.7,0.03
IEX 35,Spain,2019,9549.2,3.98,0.01,59.88,1.12,0.02,29565,0.14,155.49,41.94,0.02
IEX 35,Spain,2020,8073.7,3.91,,47.02,1.14,-0.11,27057,0.16,143.05,19.1,0.01
